libkey,formal,address,tel,post,geocode,url_pc
,千早赤阪村くすのきホール図書室,大阪府南河内郡千早赤阪村水分263番地,0721-72-1300,585-0041,"135.6259364,34.463729",http://www.vill.chihayaakasaka.osaka.jp/kosodate_kyoiku/kyoiku/3/3/index.html
,大東市立中央図書館,大阪府大東市新町13-30,072-873-3523,574-0037,"135.623815,34.7036245",http://www.librarydaito.jp/
,大東市立東部図書館,大阪府大東市野崎3-6-1 来ぶらり四条1・2階,072-812-6768,574-0015,"135.642018,34.716614",http://www.librarydaito.jp/
,大東市立西部図書館,大阪府大東市氷野4-4-70,072-873-1451,574-0062,"135.6114468,34.7136345",http://www.librarydaito.jp/
,藤井寺市立生涯学習センター「アイセルシュラホール」図書コーナー,大阪府藤井寺市藤井寺3丁目1番20号,072-952-7800,583-0024,"135.5972906,34.5661253",https://www.city.fujiidera.lg.jp/soshiki/kyoikuiinkai/toshokan/index.html
,藤井寺市立市民総合会館分館・支所図書コーナー,大阪府藤井寺市沢田3-6-36,072-939-7011,583-0024,"135.6147628,34.5725957",https://www.city.fujiidera.lg.jp/soshiki/kyoikuiinkai/toshokan/index.html
,藤井寺市立図書館,大阪府藤井寺市林1-2-2,072-938-2197,583-0007,"135.6056672,34.5742997",https://www.city.fujiidera.lg.jp/soshiki/kyoikuiinkai/toshokan/index.html
,羽曳野市立ブックステーションはびきのコロセアム,大阪府羽曳野市南恵我之荘4丁目237番4号 はびきのコロセアム内,072-937-7210,583-0885,"135.573419,34.563198",https://www.lics-saas.nexs-service.jp/habikino/
,羽曳野市立中央図書館,大阪府羽曳野市軽里1丁目1番1号 羽曳野市立生活文化情報センター「Licはびきの」内,072-950-5501,583-0854,"135.597835,34.553799",https://www.lics-saas.nexs-service.jp/habikino/
,羽曳野市立丹比図書館,大阪府羽曳野市樫山251番地1号 丹比コミュニティセンター「丹治はやプラザ」内,072-937-2355,583-0875,"135.574850,34.556743",https://www.lics-saas.nexs-service.jp/habikino/
,羽曳野市立古市図書館,大阪府羽曳野市古市4丁目2番9号 古市複合館内,072-958-0050,583-0852,"135.609594,34.552144",https://www.lics-saas.nexs-service.jp/habikino/
,羽曳野市立東部図書館,大阪府羽曳野市古市1541-1 東部コミュニティセンター「石川プラザ」内,072-950-2002,583-0852,"135.611641,34.53915",https://www.lics-saas.nexs-service.jp/habikino/
,羽曳野市立羽曳が丘図書館,大阪府羽曳野市羽曳が丘西2丁目5番1号,072-957-5553,583-0865,"135.5907497,34.5413975",https://www.lics-saas.nexs-service.jp/habikino/
,羽曳野市立陵南の森図書館,大阪府羽曳野市島泉8丁目8番1号,072-952-2750,583-0881,"135.584760,34.575544",https://www.lics-saas.nexs-service.jp/habikino/
,阪南市移動図書館「ふれあい号」,大阪府阪南市尾崎町35-3,072-471-9000,599-0201,"135.2406446,34.359791",http://www3.city.hannan.osaka.jp/
,阪南市立図書館,大阪府阪南市尾崎町35-3,072-471-9000,599-0201,"135.2406446,34.359791",http://www3.city.hannan.osaka.jp/
,東大阪市立四条図書館,大阪府東大阪市南四条町1-1,072-982-1235,579-8053,"135.6399787,34.6580608",http://www.lib-higashiosaka.jp/
,東大阪市立永和図書館大蓮分室,大阪府東大阪市大蓮北4-3-25,06-6782-0200,577-0826,"135.5719744,34.6362315",http://www.lib-higashiosaka.jp/
,東大阪市立永和図書館,大阪府東大阪市永和2-1-1,06-6781-5500,577-0809,"135.574202,34.663998",http://www.lib-higashiosaka.jp/
,東大阪市立四条図書館石切分室,大阪府東大阪市北石切町1-7 石切公民分館内,072-982-1030,579-8015,"135.648756,34.686604",http://www.lib-higashiosaka.jp/
