id,formal,url_pc,address,tel,post,geocode,libkey,libid,systemid,city,created_at,updated_at
1604,千早赤阪村くすのきホール図書室,http://www.vill.chihayaakasaka.osaka.jp/kosodate_kyoiku/kyoiku/3/3/index.html,大阪府南河内郡千早赤阪村水分263番地,0721-72-1300,585-0041,"135.6259364,34.463729",図書室,111551,,南河内郡千早赤阪村,2025-02-28 10:02:14 UTC,2025-03-02 08:31:07 UTC
1605,大東市立中央図書館,https://www.librarydaito.jp/,大阪府大東市新町13-30,072-873-3523,574-0037,"135.623815,34.7036245",中央図書館,102988,,大東市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:18 UTC
1606,大東市立東部図書館,https://www.librarydaito.jp/,大阪府大東市野崎3-6-1 来ぶらり四条1・2階,072-812-6768,574-0015,"135.642018,34.716614",東部図書館,112430,,大東市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:13 UTC
1607,大東市立西部図書館,https://www.librarydaito.jp/,大阪府大東市氷野4-4-70,072-873-1451,574-0062,"135.6114468,34.7136345",西部図書館,102989,,大東市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:13 UTC
1608,藤井寺市立生涯学習センター「アイセルシュラホール」図書コーナー,https://www.city.fujiidera.lg.jp/soshiki/kyoikuiinkai/toshokan/index.html,大阪府藤井寺市藤井寺3丁目1番20号,072-952-7800,583-0024,"135.5972906,34.5661253",シュラホール,102990,,藤井寺市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:13 UTC
1609,藤井寺市立市民総合会館分館・支所図書コーナー,https://www.city.fujiidera.lg.jp/soshiki/kyoikuiinkai/toshokan/index.html,大阪府藤井寺市沢田3-6-36,072-939-7011,583-0024,"135.6147628,34.5725957",支所,102992,,藤井寺市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:13 UTC
1610,藤井寺市立図書館,https://www.city.fujiidera.lg.jp/soshiki/kyoikuiinkai/toshokan/index.html,大阪府藤井寺市林1-2-2,072-938-2197,583-0007,"135.6056672,34.5742997",藤井寺市立図書館,102994,,藤井寺市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:13 UTC
1611,羽曳野市立ブックステーションはびきのコロセアム,https://www.lics-saas.nexs-service.jp/habikino/,大阪府羽曳野市南恵我之荘4丁目237番4号 はびきのコロセアム内,072-937-7210,583-0885,"135.573419,34.563198",BSコロセアム,110691,,羽曳野市,2025-02-28 10:02:14 UTC,2025-03-02 08:31:03 UTC
1612,羽曳野市立中央図書館,https://www.lics-saas.nexs-service.jp/habikino/,大阪府羽曳野市軽里1丁目1番1号 羽曳野市立生活文化情報センター「Licはびきの」内,072-950-5501,583-0854,"135.597835,34.553799",中央図書館,110689,,羽曳野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:14 UTC
1613,羽曳野市立丹比図書館,https://www.lics-saas.nexs-service.jp/habikino/,大阪府羽曳野市樫山251番地1号 丹比コミュニティセンター「丹治はやプラザ」内,072-937-2355,583-0875,"135.574850,34.556743",丹比図書館,110693,,羽曳野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:14 UTC
1614,羽曳野市立古市図書館,https://www.lics-saas.nexs-service.jp/habikino/,大阪府羽曳野市古市4丁目2番9号 古市複合館内,072-958-0050,583-0852,"135.609594,34.552144",古市図書館,111645,,羽曳野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:14 UTC
1615,羽曳野市立東部図書館,https://www.lics-saas.nexs-service.jp/habikino/,大阪府羽曳野市古市1541-1 東部コミュニティセンター「石川プラザ」内,072-950-2002,583-0852,"135.611641,34.53915",東部図書館,110692,,羽曳野市,2025-02-28 10:02:14 UTC,2025-03-02 08:31:07 UTC
1616,羽曳野市立羽曳が丘図書館,https://www.lics-saas.nexs-service.jp/habikino/,大阪府羽曳野市羽曳が丘西2丁目5番1号,072-957-5553,583-0865,"135.5907497,34.5413975",羽曳が丘,110690,,羽曳野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:14 UTC
1617,羽曳野市立陵南の森図書館,https://www.lics-saas.nexs-service.jp/habikino/,大阪府羽曳野市島泉8丁目8番1号,072-952-2750,583-0881,"135.584760,34.575544",陵南の森,110688,,羽曳野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:14 UTC
1618,阪南市移動図書館「ふれあい号」,http://www3.city.hannan.osaka.jp/,大阪府阪南市尾崎町35-3,072-471-9000,599-0201,"135.2406446,34.359791",ふれあい号,102996,,阪南市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:14 UTC
1619,阪南市立図書館,http://www3.city.hannan.osaka.jp/,大阪府阪南市尾崎町35-3,072-471-9000,599-0201,"135.2406446,34.359791",阪南市立図書館,102995,,阪南市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:14 UTC
1620,東大阪市立四条図書館,http://www.lib-higashiosaka.jp/,大阪府東大阪市南四条町1-1,072-982-1235,579-8053,"135.6399787,34.6580608",四条,102998,,東大阪市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:15 UTC
1621,東大阪市立永和図書館大蓮分室,http://www.lib-higashiosaka.jp/,大阪府東大阪市大蓮北4-3-25,06-6782-0200,577-0826,"135.5719744,34.6362315",大蓮,102997,,東大阪市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:15 UTC
1622,東大阪市立永和図書館,http://www.lib-higashiosaka.jp/,大阪府東大阪市永和2-1-1,06-6781-5500,577-0809,"135.574202,34.663998",永和,102999,,東大阪市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:15 UTC
1623,東大阪市立四条図書館石切分室,http://www.lib-higashiosaka.jp/,大阪府東大阪市北石切町1-7 石切公民分館内,072-982-1030,579-8015,"135.648756,34.686604",石切,103000,,東大阪市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:15 UTC
1624,東大阪市立永和移動図書館,http://www.lib-higashiosaka.jp/,大阪府東大阪市大蓮北4-3-25,06-6728-0202,577-0054,"135.5719738,34.6362558",移動図,103002,,東大阪市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:16 UTC
1625,東大阪市立花園図書館,http://www.lib-higashiosaka.jp/,大阪府東大阪市吉田4-7-20,072-965-7700,578-0924,"135.6242048,34.6705645",花園,103001,,東大阪市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:16 UTC
1626,枚方市自動車文庫「ひなぎく号」,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市車塚2丁目1-1,050-7105-8115,573-1159,"135.6716337,34.8334635",BM,103016,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:16 UTC
1627,枚方市立さだ図書館,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市北中振3-27-10 さだ生涯学習市民センター1階,050-7102-3117,573-0064,"135.6285962,34.7970308",さだ図書館,103003,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:16 UTC
1628,枚方市立中央図書館,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市車塚2丁目1-1,050-7105-8141,573-1159,"135.671631,34.833413",中央図書館,103004,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:17 UTC
1629,枚方市立図書館宮之阪分室,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市宮之阪1-9-49,072-848-2421,573-0022,"135.656844,34.8133153",宮之阪分室,103005,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:17 UTC
1630,枚方市立図書館山田分室,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市都丘町6-9,072-840-1921,573-1165,"135.6694009,34.8223508",山田分室,103006,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:17 UTC
1631,枚方市立市駅前図書館,https://www.city.hirakata.osaka.jp/0000050167.html,大阪府枚方市岡東町19-1 ステーションヒル枚方5F,072-841-1103,573-0032,"135.649620,34.816921",市駅前,125809,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:17 UTC
1632,枚方市立御殿山図書館,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市御殿山町10-16 御殿山生涯学習美術センター内,050-7102-3119,573-1182,"135.6567269,34.8290722",御殿山図,103008,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:17 UTC
1633,枚方市立図書館村野分室,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市村野西町5-1 サプリ村野内,072-849-2416,573-0042,"135.6599496,34.8037552",村野分室,103009,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:18 UTC
1634,枚方市立図書館枚方公園分室,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市伊加賀東町6-8 枚方公園青少年センター内,072-844-7773,573-0058,"135.637676,34.811166",枚方公園分,103011,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:31:04 UTC
1635,枚方市立楠葉図書館,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市楠葉並木2-29-5 楠葉生涯学習市民センター1階,050-7102-3113,573-1118,"135.6818905,34.8594943",楠葉図書館,103012,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:23 UTC
1636,枚方市立図書館氷室分室,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市尊延寺3-1-47,072-859-2562,573-0112,"135.7272286,34.8033626",氷室分室,103013,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:18 UTC
1637,枚方市立津田図書館,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市津田北町2-25-3 津田生涯学習市民センター2階,050-7102-3123,573-0121,"135.7032646,34.8096614",津田図書館,103014,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:18 UTC
1638,枚方市立牧野図書館,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市宇山町4-5 牧野生涯学習市民センター1階,050-7102-3121,573-1143,"135.6689533,34.8429292",牧野図書館,103015,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:18 UTC
1639,枚方市立菅原図書館,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市長尾元町1-35-1,050-7102-3115,573-0163,"135.7088471,34.8237518",菅原図書館,103018,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:19 UTC
1640,枚方市立図書館藤阪分室,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市藤阪西町6-4,072-868-1987,573-0158,"135.7002675,34.819738",藤阪分室,103019,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:19 UTC
